ID,Date_Last_Weigh,Date_End,Buoyant,Dry,Measured_by,
17002,170506,20170509,28.923667,49.89,Isabel,
17009,170504,20170509,37.167667,63.85,Isabel,
17014,170506,20170509,37.192333,65.54,Isabel,
17016,170505,20170509,39.398333,72.18,Isabel,
17018,170505,20170509,16.632,28.34,Isabel,
17035,170505,20170509,22.055667,37.56,Isabel,
17047,170504,20170509,18.373333,30.27,Isabel,
17060,170505,20170509,28.299,48.58,Isabel,
17063,170505,20170509,27.798333,49.12,Isabel,
17067,170504,20170509,17.092,29.76,Isabel,
17092,170505,20170509,26.814,44.92,Isabel,
17103,170506,20170509,19.045,33.56,Isabel,
17112,170505,20170509,39.159667,69.01,Isabel,
17149,170504,20170509,10.55625,19.44,Isabel,
17185,170505,20170509,24.719667,41.84,Isabel,
17192,170505,20170509,26.326667,45.86,Isabel,
17209,170504,20170509,22.068667,37.63,Isabel,data reversed (corrected)
17010,170530,20170602,18.693333,33.13,Isabel,data reversed (corrected)
17024,170530,20170602,17.372333,30.06,Isabel,
17046,170530,20170602,42.030333,73.34,Isabel,
17056,170530,20170602,26.524667,45.13,Isabel,
17064,170531,20170602,54.075333,98.92,Isabel,
17077,170530,20170602,21.213667,37.82,Isabel,
17078,170530,20170602,58.793,114.51,Isabel,
17086,170530,20170602,29.814,53.13,Isabel,
17096,170530,20170602,23.847667,41.83,Isabel,
17097,170530,20170602,31.208,56.96,Isabel,
17109,170530,20170602,48.804,86.52,Isabel,
17127,170530,20170602,36.260333,67.91,Isabel,
17150,170530,20170602,46.369333,81.1,Isabel,
17165,170530,20170602,15.812333,27.32,Isabel,
17183,170530,20170602,20.226667,36.35,Isabel,
17191,170530,20170602,11.382,20.18,Isabel,
17197,170530,20170602,22.182667,38.91,Isabel,
17205,170530,20170602,12.139,21.45,Isabel,